Geographic Area,"April 1, 2020 Estimates Base",2020,2021,2022,2023,2024,2025
".McLean County, Kentucky","9,151","9,134","9,121","9,108","9,047","9,081","9,064"
".Madison County, Kentucky","92,702","93,002","93,485","95,227","97,551","99,600","101,696"
".Magoffin County, Kentucky","11,639","11,606","11,491","11,321","11,224","11,171","11,110"
".Marion County, Kentucky","19,575","19,587","19,717","19,720","19,853","19,998","20,115"
".Marshall County, Kentucky","31,662","31,689","31,810","31,765","31,705","31,655","31,659"
".Martin County, Kentucky","11,290","11,252","11,166","11,101","10,932","10,683","10,697"
".Mason County, Kentucky","17,126","17,135","16,953","16,871","16,875","16,914","16,936"
".Meade County, Kentucky","30,005","30,030","30,150","30,048","30,189","30,497","30,699"
".Menifee County, Kentucky","6,113","6,138","6,172","6,216","6,280","6,329","6,430"
".Mercer County, Kentucky","22,640","22,654","22,869","22,935","23,172","23,499","23,733"
".Metcalfe County, Kentucky","10,288","10,286","10,392","10,397","10,512","10,537","10,583"
".Monroe County, Kentucky","11,335","11,315","11,258","11,315","11,246","11,156","11,191"
".Montgomery County, Kentucky","28,109","28,115","28,231","28,351","28,534","28,813","28,822"
".Morgan County, Kentucky","13,725","13,733","13,692","14,166","14,372","14,233","14,415"
".Muhlenberg County, Kentucky","30,934","30,904","30,334","30,693","30,553","30,572","30,634"
".Nelson County, Kentucky","46,732","46,785","47,149","47,430","47,909","48,609","49,036"
".Nicholas County, Kentucky","7,532","7,542","7,728","7,767","7,692","7,752","7,949"
".Ohio County, Kentucky","23,770","23,747","23,730","23,556","23,763","23,900","23,934"
".Oldham County, Kentucky","67,614","67,705","68,295","69,549","70,348","70,600","70,986"
".Owen County, Kentucky","11,268","11,303","11,305","11,294","11,319","11,465","11,601"
".Owsley County, Kentucky","4,054","4,034","3,974","3,941","3,987","3,930","3,932"
".Pendleton County, Kentucky","14,639","14,641","14,624","14,673","14,783","14,801","14,800"
".Perry County, Kentucky","28,473","28,370","27,926","27,366","27,069","26,805","26,555"
".Pike County, Kentucky","58,667","58,459","57,499","56,378","56,021","55,358","54,721"
".Powell County, Kentucky","13,130","13,098","13,092","13,061","12,981","12,861","12,812"
".Pulaski County, Kentucky","65,034","65,112","65,543","65,787","66,237","66,959","67,384"
".Robertson County, Kentucky","2,193","2,182","2,257","2,250","2,321","2,352","2,325"
".Rockcastle County, Kentucky","16,033","16,057","16,136","16,204","16,150","16,212","16,148"
".Rowan County, Kentucky","24,652","24,714","24,565","24,414","24,467","24,526","24,476"
".Russell County, Kentucky","17,991","17,997","18,159","18,167","18,345","18,549","18,608"
".Scott County, Kentucky","57,164","57,541","58,462","59,478","60,694","61,724","62,262"
".Shelby County, Kentucky","48,113","48,245","48,596","48,929","49,700","50,482","51,243"
".Simpson County, Kentucky","19,595","19,628","19,736","19,930","20,243","20,418","20,788"
".Spencer County, Kentucky","19,418","19,496","19,875","20,191","20,500","20,707","20,998"
".Taylor County, Kentucky","26,022","26,011","26,208","26,445","26,574","26,811","26,763"
".Todd County, Kentucky","12,244","12,283","12,298","12,426","12,575","12,787","12,972"
