Case_ID,Region,County,Jurisdiction,Age_at_Case_Filing,Case_Category,Case_Filing_Date,Case_Disposition_Date,Charge_ID_Number,Charge Type,UOR_Code,Offense_Description,ASCF_Code,ASCF,AOC_Offense_Category_Code,AOC_Offense_Category,Charge_Level,Charge_Class,Charge_Filing_Date,Original_Plea,Final_Plea,Charge_Disposition_Date,Charge_Disposition,Charge_Disposition_Category,Trial_Type,Sentence_Date,SEN_FINE_SENT_AMT,SEN_FINE_PROB_AMT,SEN_FINE_SUSP_AMT,SEN_FINE_COND_AMT,SEN_COST_SENT_AMT,SEN_COST_PROB_AMT,SEN_COST_SUSP_AMT,SEN_COST_COND_AMT,SEN_CONCURRENT,SEN_CONSECUTIVE,SEN_JAIL,SEN_PRISON,SEN_JORP_SENT_YEARS,SEN_JORP_SENT_MONTHS,SEN_JORP_SENT_DAYS,SEN_JORP_SENT_HOURS,SEN_JORP_SUSP_YEARS,SEN_JORP_SUSP_MONTHS,SEN_JORP_SUSP_DAYS,SEN_JORP_SUSP_HOURS,SEN_JORP_COND_YEARS,SEN_JORP_COND_MONTHS,SEN_JORP_COND_DAYS,SEN_JORP_COND_HOURS,SEN_HOME_SENT_YEARS,SEN_HOME_SENT_MONTHS,SEN_HOME_SENT_DAYS,SEN_HOME_SENT_HOURS,SEN_HOME_SUSP_YEARS,SEN_HOME_SUSP_MONTHS,SEN_HOME_SUSP_DAYS,SEN_HOME_SUSP_HOURS,SEN_HOME_COND_YEARS,SEN_HOME_COND_MONTHS,SEN_HOME_COND_DAYS,SEN_HOME_COND_HOURS,SEN_PROB_SUPV_YEARS,SEN_PROB_SUPV_MONTHS,SEN_PROB_SUPV_DAYS,SEN_PROB_SUPV_HOURS,SEN_PROB_UNSP_YEARS,SEN_PROB_UNSP_MONTHS,SEN_PROB_UNSP_DAYS,SEN_PROB_UNSP_HOURS,SEN_LOCAL_PROBATION,SEN_STATE_PROBATION,SEN_COMM_SRVC_YEARS,SEN_COMM_SRVC_MONTHS,SEN_COMM_SRVC_DAYS,SEN_COMM_SRVC_HOURS,SEN_CRDT_TIME_YEARS,SEN_CRDT_TIME_MONTHS,SEN_CRDT_TIME_DAYS,SEN_CRDT_TIME_HOURS,SEN_LIFE_SENTENCE,SEN_DEATH_SENTENCE,SEN_A_D_E,SEN_UNDERGO_TREATMNT,SEN_MAKE_RESTITUTION,Judge_at_Sentence,Defendant_ID,Identification,Race,Ethnicity,Gender
880,Metropolitan Region: Other,ALLEN,Circuit Court,37,Circuit Criminal,1/18/2022,6/7/2023,2,Original Charge,490310,PROMOTING CONTRABAND - 1ST DEGREE,0,Base,GUN,Handgun,Felony,D ,1/18/2022,Unknown,Unknown,3/21/2023,GUILTY,Convicted,NO TRIAL,6/6/2023,1000,1000,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,858,Criminal History Key,White,NULL,Male
880,Metropolitan Region: Other,ALLEN,Circuit Court,37,Circuit Criminal,1/18/2022,6/7/2023,4,Original Charge,026680,PROBATION VIOLATION (FOR FELONY OFFENSE),0,Base,ADD,Added Charges,Other,X ,9/19/2023,Unknown,Unknown,9/19/2023,GUILTY,Convicted,NO TRIAL,9/19/2023,1000,NULL,1000,NULL,NULL,NULL,NULL,NULL,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,858,Criminal History Key,White,NULL,Male
900,Metropolitan Region: Other,ALLEN,Circuit Court,45,Circuit Criminal,2/17/2022,10/26/2022,1A    ,Amended,502300,TAMPERING WITH PHYSICAL EVIDENCE,0,Base,IJA,Interfering Judicial Admin.,Felony,D ,10/18/2022,Unknown,Unknown,10/18/2022,GUILTY,Convicted,NO TRIAL,10/18/2022,1000,NULL,1000,NULL,NULL,NULL,NULL,NULL,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,878,Criminal History Key,White,Non-Hispanic,Male
1203,Metropolitan Region: Other,ALLEN,Circuit Court,22,Circuit Criminal,8/31/2023,8/14/2024,2,Original Charge,490310,PROMOTING CONTRABAND - 1ST DEGREE,0,Base,GUN,Handgun,Felony,D ,8/30/2023,Unknown,Unknown,7/30/2024,GUILTY,Convicted,NO TRIAL,7/30/2024,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,1161,Criminal History Key,White,Non-Hispanic,Male
1204,Metropolitan Region: Other,ALLEN,Circuit Court,29,Circuit Criminal,8/31/2023,8/6/2024,2,Original Charge,490310,PROMOTING CONTRABAND - 1ST DEGREE,0,Base,GUN,Handgun,Felony,D ,8/30/2023,Unknown,Unknown,7/9/2024,GUILTY,Convicted,NO TRIAL,7/30/2024,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,1162,Criminal History Key,White,NULL,Male
1205,Metropolitan Region: Other,ALLEN,Circuit Court,44,Circuit Criminal,8/31/2023,8/29/2024,2,Original Charge,490310,PROMOTING CONTRABAND - 1ST DEGREE,0,Base,GUN,Handgun,Felony,D ,8/30/2023,Unknown,Unknown,7/8/2024,GUILTY,Convicted,NO TRIAL,3/17/2025,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,1163,Criminal History Key,White,NULL,Male
1206,Metropolitan Region: Other,ALLEN,Circuit Court,43,Circuit Criminal,9/1/2023,7/23/2024,1,Original Charge,702400,ENGAGING IN ORGANIZED CRIME-CRIMINAL SYNDICATE,0,Base,ICS,Organized Crime/Inchoate,Felony,B ,8/30/2023,Unknown,Unknown,7/9/2024,GUILTY,Convicted,NO TRIAL,7/9/2024,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,1164,Criminal History Key,White,Non-Hispanic,Male
1206,Metropolitan Region: Other,ALLEN,Circuit Court,43,Circuit Criminal,9/1/2023,7/23/2024,2,Original Charge,490315,COMP PROMOTING CONTRABAND - 1ST DEGREE,5,Complicity,GUN,Handgun,Felony,D ,8/30/2023,Unknown,Unknown,7/9/2024,GUILTY,Convicted,NO TRIAL,7/9/2024,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649413,1164,Criminal History Key,White,Non-Hispanic,Male
455,Micropolitan: Western,BALLARD,Circuit Court,42,Circuit Criminal,9/6/2019,2/7/2020,8,Original Charge,001980,"*OBS* FLEEING OR EVADING POLICE, 2ND DEGREE (MOTOR VEHICLE)",0,Base,RTC,Related to Custody,Misdemeanor,A ,1/29/2020,Not Guilty,Not Guilty,1/29/2020,GUILTY,Convicted,JURY TRIAL,2/7/2020,100,NULL,NULL,NULL,210,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601249,444,Criminal History Key,White,Non-Hispanic,Male
456,Micropolitan: Western,BALLARD,Circuit Court,61,Circuit Criminal,9/6/2019,6/19/2020,1,Original Charge,422150,"POSS CONT SUB, 1ST DEGREE, 1ST OFF (METHAMPHETAMINE)",0,Base,DGP,Drug Possession,Felony,D ,9/6/2019,Unknown,Unknown,1/28/2020,GUILTY,Convicted,NO TRIAL,6/19/2020,NULL,NULL,NULL,NULL,210,NULL,NULL,NULL,0,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,300,0,0,10,0,0,0,0,0,0,601249,445,Criminal History Key,White,Non-Hispanic,Female
